ОфНазвание,Синоним,Внешний идентификатор,Широта,Долгота,id региона,Регион - в другой таблице
Адыгейск,Адыгейске,ccdfd496-8108-4655-aadd-bd228747306d,44.8783715,39.190172,1,Адыгея
Майкоп,Майкопе,8cfbe842-e803-49ca-9347-1ef90481dd98,44.6098268,40.1006527,1,Адыгея
Горно-Алтайск,Горно-Алтайске,0839d751-b940-4d3d-afb6-5df03fdd7791,51.9582681,85.9602957,2,Алтай
Алейск,Алейске,ae716080-f27b-40b6-a555-cf8b518e849e,52.4920914,82.7794145,3,Алтайский край
Барнаул,Барнауле,d13945a8-7017-46ab-b1e6-ede1e89317ad,53.3481145,83.7798362,3,Алтайский край
Белокуриха,Белокурихе,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,51.9960534,84.9840343,3,Алтайский край
Бийск,Бийске,52f876f6-cb1d-4f23-a22f-b692609fc1e0,52.5393683,85.2138852,3,Алтайский край
Горняк,Горняке,094b3627-2699-4782-8492-4d82aac71958,50.9979032,81.4643059,3,Алтайский край
Заринск,Заринске,142e04ef-dec1-44fa-b553-fac215764374,53.7063495,84.9314703,3,Алтайский край
Змеиногорск,Змеиногорске,e7001b8f-d104-4873-96d4-66339f5e530a,51.1580235,82.1872476,3,Алтайский край
Камень-на-Оби,Камне-на-Оби,810ca9c7-f10e-4def-9c48-f0aa83168ca7,53.7915454,81.3545173,3,Алтайский край
Новоалтайск,Новоалтайске,aa288d9f-4b2a-42a6-97f0-3502dddfa383,53.4120811,83.9311249,3,Алтайский край
Рубцовск,Рубцовске,65db5c88-c65c-43f0-9c21-13e15a032d4a,51.5013075,81.2077729,3,Алтайский край
Славгород,Славгороде,94ae181d-b153-4dd1-8a2f-12852919875f,52.9993053,78.6459674,3,Алтайский край
Яровое,Яровом,e07d57ed-22ce-4020-b59c-f7aae6f091bf,52.9251728,78.5729898,3,Алтайский край
Белогорск,Белогорске,c528e99b-7e81-4290-9cda-8713884472a5,50.9212235,128.4738742,4,Амурская область
Благовещенск,Благовещенске,8f41253d-6e3b-48a9-842a-25ba894bd093,50.2905935,127.5272186,4,Амурская область
Завитинск,Завитинске,7b39476f-0edb-4bc3-bb31-6cedfb2aa695,50.1064678,129.4392897,4,Амурская область
Зея,Зее,581855f4-f0bc-44a5-a36e-a298279f9ec4,53.7339151,127.2658079,4,Амурская область
Райчихинск,Райчихинске,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,49.7941882,129.4112149,4,Амурская область
Свободный,Свободном,dd560dfa-3feb-48e2-aa3b-b71213e7441e,51.361264,128.1218995,4,Амурская область
Сковородино,Сковородино,260c545f-883c-440a-852c-c39a65fe4104,53.9871004,123.943729,4,Амурская область
Тында,Тынде,007e010f-e110-4a55-90a7-c4acac623c9b,55.1546401,124.7468634,4,Амурская область
Шимановск,Шимановске,809f0591-bb18-40a2-9fac-7d3d0a22c0bf,52.0052856,127.7006559,4,Амурская область
Благовещенск,Благовещенске,da7ef573-cdbe-458e-a790-b29ad3a3d140,55.0499592,55.955309,4,Амурская область
Белогорск,Белогорске,b8fb5c0b-4de5-4fa4-aa50-e5dc9265116a,45.0571581,34.5998775,4,Амурская область
Архангельск,Архангельске,06814fb6-0dc3-4bec-ba20-11f894a0faf5,64.5392985,40.5170083,5,Архангельская область
Вельск,Вельске,71051070-fce3-4a4d-a9d9-cd50f6dc6310,61.0660057,42.1032858,5,Архангельская область
Каргополь,Каргополе,a670f317-f3c4-4dd6-9d27-fa68a8b28b6f,61.5008762,38.9636415,5,Архангельская область
Коряжма,Коряжме,782acb50-ddfa-4483-bcbd-a5e667976036,61.2885993,47.1002315,5,Архангельская область
Котлас,Котласах,93adb246-540e-40a2-a0fd-e96ca6796589,61.2529842,46.6331915,5,Архангельская область
Мезень,Мезне,8a49f67f-6c48-4160-bd1d-ebc188a69269,65.8398386,44.2531865,5,Архангельская область
Мирный,Мирном,977c7606-1b37-4424-84f7-b0c66c3e4b94,62.7644267,40.3359976,5,Архангельская область
Новодвинск,Новодвинске,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,64.4136023,40.8208003,5,Архангельская область
Няндома,Няндоме,491b0861-0da5-4781-9c2c-521df0ea7af6,61.6653735,40.2061699,5,Архангельская область
